portfolio,pname,order,slug,title,state,year,place,location,field-notes,print-type,edition,edition-type,image,thumb,image-home,image-biz,width,height,homepage
icons-of-agriculture,Icons of Agriculture,10,abandoned-granary-ione,Abandoned,Oregon,2014,Morrow County,Ione,This is a field note.,Pigment Ink,25,Limited,abandoned-granary-ione.jpg,abandoned-granary-ione.jpg,abandoned-granary-ione-home.jpg,abandoned-granary-ione-biz.jpg,1100,1600,N
icons-of-agriculture,Icons of Agriculture,1,clearing-storm-the-palouse,Clearing Storm,Washington,2018,The Palouse,Lion's Ferry Road,This is a field note.,Pigment Ink,25,Limited,clearing-storm-the-palouse.jpg,clearing-storm-the-palouse.jpg,clearing-storm-the-palouse-home.jpg,clearing-storm-the-palouse-biz.jpg,2400,1820,Y
icons-of-agriculture,Icons of Agriculture,5,conveyance-delevan,Conveyance,California,2017,Sacramento Valley,Delevan,This is a field note.,Pigment Ink,25,Limited,conveyance-delevan.jpg,conveyance-delevan.jpg,conveyance-delevan-home.jpg,conveyance-delevan-biz.jpg,2400,1720,N
icons-of-agriculture,Icons of Agriculture,4,electric-cortena,Electric,California,2014,Sacramento Valley,Cortena,This is a field note.,Pigment Ink,25,Limited,electric-cortena.jpg,electric-cortena.jpg,electric-cortena-home.jpg,electric-cortena-biz.jpg,2400,1600,Y
icons-of-agriculture,Icons of Agriculture,17,emergency-use-only-ritzville,Emergency Use Only,Oregon,2020,Adams County,Ritzville,This is a field note.,Pigment Ink,25,Limited,emergency-use-only-ritzville.jpg,emergency-use-only-ritzville.jpg,emergency-use-only-ritzville-home.jpg,emergency-use-only-ritzville-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,6,elevator-detail-delevan,Glowing Stack,California,2013,Sacramento Valley,Delevan,This is a field note.,Pigment Ink,25,Limited,elevator-detail-delevan.jpg,elevator-detail-delevan.jpg,elevator-detail-delevan-home.jpg,elevator-detail-delevan-biz.jpg,1140,1600,N
icons-of-agriculture,Icons of Agriculture,3,grain-dryer-colby,Grain Dryer,Kansas,2021,Colby,Cornerstone AG,This is a field note.,Pigment Ink,25,Limited,grain-dryer-colby.jpg,grain-dryer-colby.jpg,grain-dryer-colby-home.jpg,grain-dryer-colby-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,13,grain-truck-artois,Grain Truck,California,2016,Sacramento Valley,Artois,This is a field note.,Pigment Ink,25,Limited,grain-truck-artois.jpg,grain-truck-artois.jpg,grain-truck-artois-home.jpg,grain-truck-artois-biz.jpg,2400,1600,N
icons-of-agriculture,Icons of Agriculture,11,rainglow-kellog-hollow,Rainglow,Washington,2013,The Palouse,Kellog Hollow,This is a field note.,Pigment Ink,25,Limited,rainglow-kellog-hollow.jpg,rainglow-kellog-hollow.jpg,rainglow-kellog-hollow-home.jpg,rainglow-kellog-hollow-biz.jpg,2400,1600,N
icons-of-agriculture,Icons of Agriculture,7,granary-ladder-dufur,Granary Ladder,Washington,2019,Wasco County,Dufur,This is a field note.,Pigment Ink,25,Limited,granary-ladder-dufur.jpg,granary-ladder-dufur.jpg,granary-ladder-dufur-home.jpg,granary-ladder-dufur-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,9,holding-silos-horace,Holding Silos,Kansas,2021,Greeley County,Horace,This is a field note.,Pigment Ink,25,Limited,holding-silos-horace.jpg,holding-silos-horace.jpg,holding-silos-horace-home.jpg,holding-silos-horace-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,12,inside-view-kennedy-ford,Inside View,Idaho,2022,Potlatch,Kennedy Ford,This is a field note.,Pigment Ink,25,Limited,inside-view-kennedy-ford.jpg,inside-view-kennedy-ford.jpg,inside-view-kennedy-ford-home.jpg,inside-view-kennedy-ford-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,2,pastels-artois,Pastels,California,2015,Sacramento Valley,Artois,This is a field note.,Pigment Ink,25,Limited,pastels-artois.jpg,pastels-artois.jpg,pastels-artois-home.jpg,pastels-artois-biz.jpg,1200,1600,N
icons-of-agriculture,Icons of Agriculture,15,red-off-white-and-blue-palouse,"Red, Off White, and Blue",Washington,2022,Whitman County,Palouse City,This is a field note.,Pigment Ink,25,Limited,red-off-white-and-blue-palouse.jpg,red-off-white-and-blue-palouse.jpg,red-off-white-and-blue-palouse-home.jpg,red-off-white-and-blue-palouse-biz.jpg,2400,1820,Y
icons-of-agriculture,Icons of Agriculture,16,silver-silos-pomeroy,Silver Silos,Washington,2017,Garfield County,Pomeroy,This is a field note.,Pigment Ink,25,Limited,silver-silos-pomeroy.jpg,silver-silos-pomeroy.jpg,silver-silos-pomeroy-home.jpg,silver-silos-pomeroy-biz.jpg,2400,1600,N
icons-of-agriculture,Icons of Agriculture,14,stacks-and-stairs-delevan,Stacks and Stairs,California,2015,Sacramento Valley,Delevan,This is a field note.,Pigment Ink,25,Limited,stacks-and-stairs-delevan.jpg,stacks-and-stairs-delevan.jpg,stacks-and-stairs-delevan-home.jpg,stacks-and-stairs-delevan-biz.jpg,1140,1600,N
icons-of-agriculture,Icons of Agriculture,8,wall-street-dufur,Wall Street,Oregon,2018,Wasco County,Dufur,This is a field note.,Pigment Ink,25,Limited,wall-street-dufur.jpg,wall-street-dufur.jpg,wall-street-dufur-home.jpg,wall-street-dufur-biz.jpg,1200,1600,N
icons-of-agriculture-ii,Icons of Agriculture,4,air-pipes-condon,Air Pipes,Oregon,2018,Gilliam County,Condon,This is a field note.,Pigment Ink,25,Limited,air-pipes-condon.jpg,air-pipes-condon.jpg,air-pipes-condon-home.jpg,air-pipes-condon-biz.jpg,2400,1820,N
icons-of-agriculture-ii,Icons of Agriculture,9,chutes-and-pulleys-harrington,Chutes and Pulleys,Washington,2020,Lincoln County,Harrington,This is a field note.,Pigment Ink,25,Limited,chutes-and-pulleys-harrington.jpg,chutes-and-pulleys-harrington.jpg,chutes-and-pulleys-harrington-home.jpg,chutes-and-pulleys-harrington-biz.jpg,1200,1600,N
icons-of-agriculture-ii,Icons of Agriculture,15,details-cheyenne,Details,Colorado,2021,Cheyenne County,Cheyenne Wells,This is a field note.,Pigment Ink,25,Limited,details-cheyenne.jpg,details-cheyenne.jpg,details-cheyenne-home.jpg,details-cheyenne-biz.jpg,1200,1600,N
icons-of-agriculture-ii,Icons of Agriculture,14,forms-walters,Forms,Washington,2022,Garfield,Walters Road,This is a field note.,Pigment Ink,25,Limited,forms-walters.jpg,forms-walters.jpg,forms-walters-home.jpg,forms-walters-biz.jpg,2400,1820,N
icons-of-agriculture-ii,Icons of Agriculture,2,fractures-chulalar,Fractures,California,2011,Salinas Valley,Chualar,This is a field note.,Pigment Ink,25,Limited,fractures-chulalar.jpg,fractures-chulalar.jpg,fractures-chulalar-home.jpg,fractures-chulalar-biz.jpg,1100,1600,N
icons-of-agriculture-ii,Icons of Agriculture,8,grain-truck-endicott,Grain Truck,Washington,2019,Whitman County,Endicott,This is a field note.,Pigment Ink,25,Limited,grain-truck-endicott.jpg,grain-truck-endicott.jpg,grain-truck-endicott-home.jpg,grain-truck-endicott-biz.jpg,2400,1820,N
icons-of-agriculture-ii,Icons of Agriculture,11,last-light-lions-ferry-road,Last Light,Washington,2014,The Palouse,Lion's Ferry Road,This is a field note.,Pigment Ink,25,Limited,last-light-lions-ferry-road.jpg,last-light-lions-ferry-road.jpg,last-light-lions-ferry-road-home.jpg,last-light-lions-ferry-road-biz.jpg,2400,1720,N
icons-of-agriculture-ii,Icons of Agriculture,7,luminance-dufur,Luminance,Oregon,2018,Wasco County,Dufur,This is a field note.,Pigment Ink,25,Limited,luminance-dufur.jpg,luminance-dufur.jpg,luminance-dufur-home.jpg,luminance-dufur-biz.jpg,2400,1820,N
icons-of-agriculture-ii,Icons of Agriculture,34,no-808-harrington,No. 808,Washington,2020,Lincoln County,Harrington,This is a field note.,Pigment Ink,25,Limited,no-808-harrington.jpg,no-808-harrington.jpg,no-808-harrington-home.jpg,no-808-harrington-biz.jpg,1200,1600,N
icons-of-agriculture-ii,Icons of Agriculture,1,red-coupler-palouse,Red Coupler,Washington,2022,Whitman County,Palouse City,This is a field note.,Pigment Ink,25,Limited,red-coupler-palouse.jpg,red-coupler-palouse.jpg,red-coupler-palouse-home.jpg,red-coupler-palouse-biz.jpg,2400,1820,N
icons-of-agriculture-ii,Icons of Agriculture,12,roofline-pickard,Roofline,Washington,2014,The Palouse,Near Pickard,This is a field note.,Pigment Ink,25,Limited,roofline-pickard.jpg,roofline-pickard.jpg,roofline-pickard-home.jpg,roofline-pickard-biz.jpg,2400,1600,N
icons-of-agriculture-ii,Icons of Agriculture,13,sliding-doors-pomeroy,Sliding Doors,Washington,2017,Garfield County,Pomeroy,This is a field note.,Pigment Ink,25,Limited,sliding-doors-pomeroy.jpg,sliding-doors-pomeroy.jpg,sliding-doors-pomeroy-home.jpg,sliding-doors-pomeroy-biz.jpg,1100,1600,N
icons-of-agriculture-ii,Icons of Agriculture,6,stacks-and-ladder-cortena,Stacks and Ladder,California,2016,Sacramento Valley,Cortena,This is a field note.,Pigment Ink,25,Limited,stacks-and-ladder-cortena.jpg,stacks-and-ladder-cortena.jpg,stacks-and-ladder-cortena-home.jpg,stacks-and-ladder-cortena-biz.jpg,1100,1600,N
icons-of-agriculture-ii,Icons of Agriculture,5,granary-detail-cortena,Twilight,California,2019,Sacramento Valley,Cortena,This is a field note.,Pigment Ink,25,Limited,granary-detail-cortena.jpg,granary-detail-cortena.jpg,granary-detail-cortena-home.jpg,granary-detail-cortena-biz.jpg,1100,1600,N
icons-of-agriculture-ii,Icons of Agriculture,10,warm-and-cool-ione,Warm and Cool,Oregon,2019,Morrow County,Ione,This is a field note.,Pigment Ink,25,Limited,warm-and-cool-ione.jpg,warm-and-cool-ione.jpg,warm-and-cool-ione-home.jpg,warm-and-cool-ione-biz.jpg,1100,1600,N
icons-of-agriculture-iii,Icons of Agriculture,5,chutes-and-ladders-davenport,Chutes and Ladders,Washington,2020,Lincoln County,Davenport,This is a field note.,Pigment Ink,25,Limited,chutes-and-ladders-davenport.jpg,chutes-and-ladders-davenport.jpg,chutes-and-ladders-davenport-home.jpg,chutes-and-ladders-davenport-biz.jpg,1200,1600,N
icons-of-agriculture-iii,Icons of Agriculture,3,airflow-colby,Airflow,Kansas,2021,Colby,Cornerstone AG,This is a field note.,Pigment Ink,25,Limited,airflow-colby.jpg,airflow-colby.jpg,airflow-colby-home.jpg,airflow-colby-biz.jpg,2400,1820,N
icons-of-agriculture-iii,Icons of Agriculture,10,exposed-la-crosse,Exposed,Washington,2018,The Palouse,La Crosse,This is a field note.,Pigment Ink,25,Limited,exposed-la-crosse.jpg,exposed-la-crosse.jpg,exposed-la-crosse-home.jpg,exposed-la-crosse-biz.jpg,1200,1600,N
icons-of-agriculture-iii,Icons of Agriculture,13,gas-tank-artois,Gas Tank,California,2015,Sacramento Valley,Artois,This is a field note.,Pigment Ink,25,Limited,gas-tank-artois.jpg,gas-tank-artois.jpg,gas-tank-artois-home.jpg,gas-tank-artois-biz.jpg,1100,1600,N
icons-of-agriculture-iii,Icons of Agriculture,11,glowing-silos-lions-ferry-road,Glowing Silos,Washington,2018,The Palouse,Lions Ferry Road,This is a field note.,Pigment Ink,25,Limited,glowing-silos-lions-ferry-road.jpg,glowing-silos-lions-ferry-road.jpg,glowing-silos-lions-ferry-road-home.jpg,glowing-silos-lions-ferry-road-biz.jpg,2400,1820,N
icons-of-agriculture-iii,Icons of Agriculture,15,silos-and-moon-willows,Silos and Moon,California,2016,Sacramento Valley,Willows,This is a field note.,Pigment Ink,25,Limited,silos-and-moon-willows.jpg,silos-and-moon-willows.jpg,silos-and-moon-willows-home.jpg,silos-and-moon-willows-biz.jpg,1100,1600,N
icons-of-agriculture-iii,Icons of Agriculture,16,grain-loader-willows,Grain Loader,California,2016,Sacramento Valley,Willows,This is a field note.,Pigment Ink,25,Limited,grain-loader-willows.jpg,grain-loader-willows.jpg,grain-loader-willows-home.jpg,grain-loader-willows-biz.jpg,2400,1600,N
icons-of-agriculture-iii,Icons of Agriculture,1,granary-and-moon-walters,Granary and Moon,Washington,2022,Garfield,Walters Road,This is a field note.,Pigment Ink,25,Limited,granary-and-moon-walters.jpg,granary-and-moon-walters.jpg,granary-and-moon-walters-home.jpg,granary-and-moon-walters-biz.jpg,2400,1820,Y
icons-of-agriculture-iii,Icons of Agriculture,8,granary-in-grey-endicott,Granary in Grey,Washington,2018,The Palouse,Endicott,This is a field note.,Pigment Ink,25,Limited,granary-in-grey-endicott.jpg,granary-in-grey-endicott.jpg,granary-in-grey-endicott-home.jpg,granary-in-grey-endicott-biz.jpg,2400,1820,N
icons-of-agriculture-iii,Icons of Agriculture,4,silo-102-cortena,Silo 102,California,2016,Sacramento Valley,Cortena,This is a field note.,Pigment Ink,25,Limited,silo-102-cortena.jpg,silo-102-cortena.jpg,silo-102-cortena-home.jpg,silo-102-cortena-biz.jpg,2400,1600,N
icons-of-agriculture-iii,Icons of Agriculture,9,a-bird-unmoved-garfield,A Bird Unmoved,Washington,2019,Whitman County,Garfield,This is a field note.,Pigment Ink,25,Limited,a-bird-unmoved-garfield.jpg,a-bird-unmoved-garfield.jpg,a-bird-unmoved-garfield-home.jpg,a-bird-unmoved-garfield-biz.jpg,1200,1600,N
icons-of-agriculture-iii,Icons of Agriculture,2,the-blue-door-condon,The Blue Door,Oregon,2018,Gilliam County,Condon,This is a field note.,Pigment Ink,25,Limited,the-blue-door-condon.jpg,the-blue-door-condon.jpg,the-blue-door-condon-home.jpg,the-blue-door-condon-biz.jpg,1200,1600,N
icons-of-agriculture-iii,Icons of Agriculture,6,union-davenport,Union,Washington,2020,Lincoln County,Davenport,This is a field note.,Pigment Ink,25,Limited,union-davenport.jpg,union-davenport.jpg,union-davenport-home.jpg,union-davenport-biz.jpg,2400,1820,Y
icons-of-agriculture-iii,Icons of Agriculture,14,waste-bin-palouse-city,Waste Bin,Washington,2019,Whitman County,Palouse City,This is a field note.,Pigment Ink,25,Limited,waste-bin-palouse-city.jpg,waste-bin-palouse-city.jpg,waste-bin-palouse-city-home.jpg,waste-bin-palouse-city-biz.jpg,1200,1600,N
icons-of-agriculture-iii,Icons of Agriculture,12,weathered-pipes-macdoel,Weathered Pipes,California,2014,Siskiyou County,Macdoel,This is a field note.,Pigment Ink,25,Limited,weathered-pipes-macdoel.jpg,weathered-pipes-macdoel.jpg,weathered-pipes-macdoel-home.jpg,weathered-pipes-macdoel-biz.jpg,1200,1600,N
icons-of-agriculture-iv,Icons of Agriculture,4,cement-silos-condon,Cement Silos,Oregon,2015,Gilliam County,Condon,This is a field note.,Pigment Ink,25,Limited,cement-silos-condon.jpg,cement-silos-condon.jpg,cement-silos-condon-home.jpg,cement-silos-condon-biz.jpg,1200,1600,N
icons-of-agriculture-iv,Icons of Agriculture,9,emptiness-washtucna,Emptiness,Washington,2015,The Palouse,Washtucna,This is a field note.,Pigment Ink,25,Limited,emptiness-washtucna.jpg,emptiness-washtucna.jpg,emptiness-washtucna-home.jpg,emptiness-washtucna-biz.jpg,1200,1600,N
icons-of-agriculture-iv,Icons of Agriculture,11,glowing-silos-willows,Glowing Silos,California,2014,Sacramento Valley,Willows,This is a field note.,Pigment Ink,25,Limited,glowing-silos-willows.jpg,glowing-silos-willows.jpg,glowing-silos-willows-home.jpg,glowing-silos-willows-biz.jpg,1100,1600,N
icons-of-agriculture-iv,Icons of Agriculture,6,granary-detail-ione,Granary Detail,Oregon,2014,Morrow County,Ione,This is a field note.,Pigment Ink,25,Limited,granary-detail-ione.jpg,granary-detail-ione.jpg,granary-detail-ione-home.jpg,granary-detail-ione-biz.jpg,1140,1600,N
icons-of-agriculture-iv,Icons of Agriculture,5,granary-detail-ii-cortena,Granary Detail II,California,2021,Sacramento Valley,Cortena,This is a field note.,Pigment Ink,25,Limited,granary-detail-ii-cortena.jpg,granary-detail-ii-cortena.jpg,granary-detail-ii-cortena-home.jpg,granary-detail-ii-cortena-biz.jpg,1280,1600,N
icons-of-agriculture-iv,Icons of Agriculture,8,pipes-in-transit-williams,Pipes in Transit,California,2014,Sacramento Valley,Williams,This is a field note.,Pigment Ink,25,Limited,pipes-in-transit-williams.jpg,pipes-in-transit-williams.jpg,pipes-in-transit-williams-home.jpg,pipes-in-transit-williams-biz.jpg,2400,1600,N
icons-of-agriculture-iv,Icons of Agriculture,1,ramshackle-granary-winona,Ramshackle Granary,Washington,2017,The Palouse,Winona,This is a field note.,Pigment Ink,25,Limited,ramshackle-granary-winona.jpg,ramshackle-granary-winona.jpg,ramshackle-granary-winona-home.jpg,ramshackle-granary-winona-biz.jpg,1200,1600,N
icons-of-agriculture-iv,Icons of Agriculture,10,silos-reflected-willows,"Silos, Reflected",California,2016,Sacramento Valley,Willows,This is a field note.,Pigment Ink,25,Limited,silos-reflected-willows.jpg,silos-reflected-willows.jpg,silos-reflected-willows-home.jpg,silos-reflected-willows-biz.jpg,1100,1600,N
icons-of-agriculture-iv,Icons of Agriculture,3,stacked-pipes-winters,Stacked Pipes,California,2013,Sacramento Valley,Winters,This is a field note.,Pigment Ink,25,Limited,stacked-pipes-winters.jpg,stacked-pipes-winters.jpg,stacked-pipes-winters-home.jpg,stacked-pipes-winters-biz.jpg,1100,1600,N
icons-of-agriculture-iv,Icons of Agriculture,2,stairs-cheney,Stairs,Washington,2020,Spokane County,Cheney,This is a field note.,Pigment Ink,25,Limited,stairs-cheney.jpg,stairs-cheney.jpg,stairs-cheney-home.jpg,stairs-cheney-biz.jpg,2400,1820,N
icons-of-agriculture-iv,Icons of Agriculture,7,ventilation-palouse-city,Ventilation,Washington,2022,Whitman County,Palouse City,This is a field note.,Pigment Ink,25,Limited,ventilation-palouse-city.jpg,ventilation-palouse-city.jpg,ventilation-palouse-city-home.jpg,ventilation-palouse-city-biz.jpg,2400,1720,N
the-american-west,The American West,13,almond-bud-leaves-gerber,Almond Bud Leaves,California,2015,Sacramento Valley,Gerber,This is a field note.,Pigment Ink,25,Limited,almond-bud-leaves-gerber.jpg,almond-bud-leaves-gerber.jpg,almond-bud-leaves-gerber-home.jpg,almond-bud-leaves-gerber-biz.jpg,2400,1820,N
the-american-west,The American West,10,ancient-bristlecone-white-mountains,Ancient Bristlecone,California,2006,White Mountains,Sheep Pass,This is a field note.,Handmade Cibachrome,35,Limited,ancient-bristlecone-white-mountains.jpg,ancient-bristlecone-white-mountains.jpg,ancient-bristlecone-white-mountains-home.jpg,ancient-bristlecone-white-mountains-biz.jpg,2400,1920,N
the-american-west,The American West,4,aspen-canopy-crested-butte,Aspen Canopy at Dusk,Colorado,2020,Crested Butte,Kebler Pass,This is a field note.,Pigment Ink,25,Limited,aspen-canopy-crested-butte.jpg,aspen-canopy-crested-butte.jpg,aspen-canopy-crested-butte-home.jpg,aspen-canopy-crested-butte-biz.jpg,2400,1820,Y
the-american-west,The American West,23,aspens-at-dusk-crested-butte,Aspens at Dusk,Colorado,2020,Crested Butte,Kebler Pass,This is a field note.,Pigment Ink,25,Limited,aspens-at-dusk-crested-butte.jpg,aspens-at-dusk-crested-butte.jpg,aspens-at-dusk-crested-butte-home.jpg,aspens-at-dusk-crested-butte-biz.jpg,2400,1920,N
the-american-west,The American West,11,bristlecone-detail-white-mountains,Bristlecone Detail,California,2011,Wilderness,White Mountains,This is a field note.,Pigment Ink,25,Limited,bristlecone-detail-white-mountains.jpg,bristlecone-detail-white-mountains.jpg,bristlecone-detail-white-mountains-home.jpg,bristlecone-detail-white-mountains-biz.jpg,1200,1600,N
the-american-west,The American West,12,cascade-creek-yosemite-national-park,Cascade Creek,California,2010,Cascade Creek,Yosemite National Park,"After a couple years of drought, the 2010 winter season provided the Sierra Nevada with a slightly above average snow pack and the promise of lovely Spring waterfalls throughout Yosemite National Park. Compared to Bridleveil Falls, Cascade Creek drains a relatively small high-country basin so optimum timing to photograph it can be tricky. A week prior to making this photograph, my daughter and I had spent two days in Yosemite Valley and were treated to a late Spring afternoon snow storm that turned Crane Flat (several miles up HWY 120) into a winter wonderland of snowball fights and snowmen.
 

 During our short vacation, I'd made some digital exposures of Cascade Creek and sensing good possibility, returned the week later with my 4x5 excited that the conditions were exactly as I'd hoped ” flow rate on the creek had increased but was not so overwhelming to diminish the lovely curves and cascades in the snow melt's downward course.
 

 The photograph I wished to make was a multi-second post-sunset exposure with a wide angle of view that required positioning my camera and tripod in a rather precarious position off Cascade Creek bridge about 50 feet above the falls. I made what I believed to be every appropriate precaution and proceeded to make 3 exposures. Having completed the color transparency exposures, I decided to try some a Type 52 Polaroid. With the light rapidly fading it took a number of exposures to get a successful image and, as I was putting some gear away, out of the corner of my eye and just out of arm's reach, I saw my entire camera rig tip forward and silently plunge for endless seconds down into the creek.
 

 Nearly dark, I frantically scanned the creek looking for the camera rig but it had disappeared into a pocket of water. I alternatively cursed and sighed and then, being a photographer, got my digital camera and made some images of the creek for prosperity's sake. I believed I'd lost the camera for good.
 

 After consultation with friends I was persuaded to return to Yosemite the next afternoon. I actually found the camera rig teetering on a ledge further down the middle of the creek. I bribed some rock climbers (it didn't take much to summon their spirit of adventure) to gear up and snatch my camera from the creek. In the end, the camera was destroyed but the tripod and, miraculously, the all-mechanical lens, were repairable. It wasn't until a week later, when reviewing my digital images that I discovered I'd captured where the camera had emerged in the creek after the fall.",Pigment Ink,25,Limited,cascade-creek-yosemite-national-park.jpg,cascade-creek-yosemite-national-park.jpg,cascade-creek-yosemite-national-park-home.jpg,cascade-creek-yosemite-national-park-biz.jpg,1280,1600,N
the-american-west,The American West,14,all-in-the-family-white-mountains,All in the Family,California,2008,Cottonwood Canyon,White Mountains,"Whenever I mention my photography in the White Mountains most people assume I mean the White Mountains of New Hampshire. ""No"", I say, ""I'm talking about the White Mountains of California"" and the resulting look is one of puzzlement. I quickly explain that these White Mountains are situated east of the Sierra Nevada (near Big Pine and Bishop). The range borders Nevada and is part of the Great Basin range which is typically dry but whose subalpine dolomite soils are home to the oldest living tree species on the planet, the venerable Bristlecone Pines.
 

 White Mountain itself sits 14,252 ft above sea level and is the 3rd highest summit in California behind Mt. Whitney and Mt. Williamson. The environment is incredibly beautiful, incredibly harsh, and after you've spent a week photographing in it, incredibly humbling. And while the ancient Bristlecone Pines are certainly one of the main highlights of this range, there are a few eastern side canyons with year round springs, lush grassy fields and Aspen groves all of which stand in distinct contrast to the dry rocky peaks above them.
 

 Deep down one of these spring-fed canyons, Cottonwood Creek Aspens was created in the early evening of a long day spent frustratingly waiting out a pesky wind wrestling with my attempts to photograph some flowering backlit grasses. When the wind had finally died down I'd lost the desired backlight for my composition and packed up in frustration. Walking back to my truck I passed this small but compact grove of young aspens which appeared to be the offshoots of this single double trunked parent aspen. The soft evening light gave the yellow leaves a wonderful luminescence.
 

 Working quickly, the composition I determined strongest was fortunately easy to set up but reading the light I was into multiple seconds to achieve an good exposure with appropriate depth of field. Naturally, the pesky wind still had a few last breaths and by the time everything stilled, an 8-10 second exposure was required. I held my breath hoping the wind would do the same and made 2 exposures and then 2 more for insurance.",Pigment Ink,25,Limited,all-in-the-family-white-mountains.jpg,all-in-the-family-white-mountains.jpg,all-in-the-family-white-mountains-home.jpg,all-in-the-family-white-mountains-biz.jpg,2400,1920,N
